hidden_size,blocks,n_train,lr,min_val_loss
16.0,12.0,1000.0,0.01,0.6503166877306424
16.0,12.0,1000.0,0.02,0.7015070800597851
16.0,12.0,2000.0,0.01,0.787900800704956
16.0,12.0,2000.0,0.02,0.6071143460273742
16.0,18.0,1000.0,0.01,0.8411674178563632
16.0,18.0,1000.0,0.02,0.6941356429686913
16.0,18.0,2000.0,0.01,0.6174589943885803
16.0,18.0,2000.0,0.02,0.6595385324954987
24.0,12.0,1000.0,0.01,0.9208216025279119
24.0,12.0,1000.0,0.02,0.8393810758223901
24.0,12.0,2000.0,0.01,0.7453632926940919
24.0,12.0,2000.0,0.02,0.7075271701812744
24.0,18.0,1000.0,0.01,2.0801680179742665
24.0,18.0,1000.0,0.02,0.9020843414159921
24.0,18.0,2000.0,0.01,0.7564353966712951
24.0,18.0,2000.0,0.02,1.040595850944519
